机场	起飞/到达	航线名
鄂尔多斯伊金霍洛机场	23:50	鄂尔多斯到北京
北京首都国际机场	1:20	
鄂尔多斯伊金霍洛机场	23:50	鄂尔多斯到北京
北京首都国际机场	1:20	
二连浩特赛乌苏国际机场	23:45	二连浩特到北京
北京首都国际机场	1:15	
海拉尔呼伦贝尔东山国际机场	23:30	海拉尔到北京
北京首都国际机场	1:55	
杭州萧山国际机场	23:30	杭州到北京
北京首都国际机场	1:50	
海拉尔呼伦贝尔东山国际机场	23:30	海拉尔到北京
北京首都国际机场	1:55	
大连周水子国际机场	23:05	大连到北京
北京首都国际机场	0:25	
连云港白塔埠机场	23:00	连云港到北京
北京首都国际机场	0:35	
威海大水泊机场	22:55	威海到北京
北京首都国际机场	0:35	
威海大水泊机场	22:55	威海到北京
北京首都国际机场	0:35	
临沂沭埠岭机场	22:50	临沂到北京
北京首都国际机场	0:30	
东营胜利机场	22:50	东营到北京
北京首都国际机场	0:05	
包头东河机场	22:45	包头到北京
北京首都国际机场	0:20	
包头东河机场	22:45	包头到北京
北京首都国际机场	0:20	
兰州中川机场	22:40	兰州到北京
北京首都国际机场	0:45	
西安咸阳国际机场	22:40	西安到北京
北京首都国际机场	0:30	
兰州中川机场	22:40	兰州到北京
北京首都国际机场	0:45	
张家界荷花机场	22:35	张家界到北京
北京首都国际机场	1:10	
东营胜利机场	22:35	东营到北京
北京首都国际机场	23:50	
张家界荷花机场	22:35	张家界到北京
北京首都国际机场	1:10	
西宁曹家堡机场	7:10	西宁到北京
北京首都国际机场	9:25	
延吉朝阳川机场	7:10	延吉到北京
北京首都国际机场	9:35	
十堰武当山机场	7:15	十堰到北京
北京首都国际机场	9:15	
十堰武当山机场	7:15	十堰到北京
北京首都国际机场	9:15	
上海虹桥国际机场	7:20	上海到北京
北京首都国际机场	12:00	
昆明长水国际机场	7:20	昆明到北京
北京首都国际机场	10:30	
昆明长水国际机场	7:20	昆明到北京
北京首都国际机场	10:45	
烟台蓬莱国际机场	7:20	烟台到北京
北京首都国际机场	8:40	
无锡苏南硕放国际机场	7:20	无锡到北京
北京首都国际机场	9:25	
昆明长水国际机场	7:20	昆明到北京
北京首都国际机场	10:30	
昆明长水国际机场	7:20	昆明到北京
北京首都国际机场	10:45	
无锡苏南硕放国际机场	7:20	无锡到北京
北京首都国际机场	9:25	
昆明长水国际机场	7:20	昆明到北京
北京首都国际机场	10:30	
昆明长水国际机场	7:20	昆明到北京
北京首都国际机场	10:45	
烟台蓬莱国际机场	7:20	烟台到北京
北京首都国际机场	8:40	
昆明长水国际机场	7:20	昆明到北京
北京首都国际机场	10:30	
昆明长水国际机场	7:20	昆明到北京
北京首都国际机场	10:45	
大庆萨尔图机场　	7:25	大庆到北京
北京首都国际机场	9:35	
太原武宿国际机场	7:25	太原到北京
北京首都国际机场	8:45	
大庆萨尔图机场　	7:25	大庆到北京
北京首都国际机场	9:35	
青岛流亭国际机场	7:25	青岛到北京
北京首都国际机场	8:55	
青岛流亭国际机场	7:25	青岛到北京
北京首都国际机场	9:05	
青岛流亭国际机场	7:25	青岛到北京
北京首都国际机场	9:10	
大庆萨尔图机场　	7:25	大庆到北京
北京首都国际机场	9:35	
青岛流亭国际机场	7:25	青岛到北京
北京首都国际机场	8:55	
青岛流亭国际机场	7:25	青岛到北京
北京首都国际机场	9:05	
青岛流亭国际机场	7:25	青岛到北京
北京首都国际机场	9:10	
太原武宿国际机场	7:25	太原到北京
北京首都国际机场	8:45	
厦门高崎国际机场	7:30	厦门到北京
北京首都国际机场	12:05	
厦门高崎国际机场	7:30	厦门到北京
北京首都国际机场	12:05	
厦门高崎国际机场	7:30	厦门到北京
北京首都国际机场	12:05	
厦门高崎国际机场	7:30	厦门到北京
北京首都国际机场	12:05	
厦门高崎国际机场	7:30	厦门到北京
北京首都国际机场	12:05	
呼和浩特白塔国际机场	7:30	呼和浩特到北京
北京首都国际机场	8:50	
深圳宝安国际机场	7:30	深圳到北京
北京首都国际机场	10:40	
贵阳龙洞堡国际机场	7:30	贵阳到北京
北京首都国际机场	10:20	
贵阳龙洞堡国际机场	7:30	贵阳到北京
北京首都国际机场	10:25	
长沙黄花国际机场	7:30	长沙到北京
北京首都国际机场	9:40	
呼和浩特白塔国际机场	7:30	呼和浩特到北京
北京首都国际机场	8:50	
深圳宝安国际机场	7:30	深圳到北京
北京首都国际机场	10:40	
长沙黄花国际机场	7:30	长沙到北京
北京首都国际机场	9:40	
长沙黄花国际机场	7:30	长沙到北京
北京首都国际机场	9:40	
贵阳龙洞堡国际机场	7:30	贵阳到北京
北京首都国际机场	10:20	
贵阳龙洞堡国际机场	7:30	贵阳到北京
北京首都国际机场	10:25	
呼和浩特白塔国际机场	7:30	呼和浩特到北京
北京首都国际机场	8:50	
贵阳龙洞堡国际机场	7:30	贵阳到北京
北京首都国际机场	10:20	
贵阳龙洞堡国际机场	7:30	贵阳到北京
北京首都国际机场	10:25	
深圳宝安国际机场	7:30	深圳到北京
北京首都国际机场	10:40	
温州龙湾国际机场	7:35	温州到北京
北京首都国际机场	12:15	
温州龙湾国际机场	7:35	温州到北京
北京首都国际机场	12:15	
长春龙嘉国际机场	7:35	长春到北京
北京首都国际机场	9:30	
长春龙嘉国际机场	7:35	长春到北京
北京首都国际机场	9:40	
长春龙嘉国际机场	7:35	长春到北京
北京首都国际机场	9:30	
长春龙嘉国际机场	7:35	长春到北京
北京首都国际机场	9:40	
哈尔滨太平国际机场	7:40	哈尔滨到北京
北京首都国际机场	9:45	
哈尔滨太平国际机场	7:40	哈尔滨到北京
北京首都国际机场	9:45	
常州奔牛机场	7:40	常州到北京
北京首都国际机场	9:50	
哈尔滨太平国际机场	7:40	哈尔滨到北京
北京首都国际机场	9:45	
大连周水子国际机场	7:45	大连到北京
北京首都国际机场	9:10	
大连周水子国际机场	7:45	大连到北京
北京首都国际机场	9:10	
武汉天河国际机场	7:50	武汉到北京
北京首都国际机场	9:55	
兰州中川机场	7:50	兰州到北京
北京首都国际机场	9:55	
兰州中川机场	7:50	兰州到北京
北京首都国际机场	10:05	
银川河东机场	7:50	银川到北京
北京首都国际机场	9:50	
银川河东机场	7:50	银川到北京
北京首都国际机场	9:55	
兰州中川机场	7:50	兰州到北京
北京首都国际机场	9:55	
兰州中川机场	7:50	兰州到北京
北京首都国际机场	10:05	
武汉天河国际机场	7:50	武汉到北京
北京首都国际机场	9:55	
银川河东机场	7:50	银川到北京
北京首都国际机场	9:50	
银川河东机场	7:50	银川到北京
北京首都国际机场	9:55	
兰州中川机场	7:50	兰州到北京
北京首都国际机场	9:55	
兰州中川机场	7:50	兰州到北京
北京首都国际机场	10:05	
武汉天河国际机场	7:50	武汉到北京
北京首都国际机场	9:55	
长春龙嘉国际机场	7:55	长春到北京
北京首都国际机场	9:45	
烟台蓬莱国际机场	7:55	烟台到北京
北京首都国际机场	9:15	
广州白云国际机场	8:00	广州到北京
北京首都国际机场	11:25	
西安咸阳国际机场	8:00	西安到北京
北京首都国际机场	9:50	
西安咸阳国际机场	8:00	西安到北京
北京首都国际机场	9:55	
福州长乐国际机场	8:00	福州到北京
北京首都国际机场	10:45	
成都双流国际机场	8:00	成都到北京
北京首都国际机场	10:45	
广州白云国际机场	8:00	广州到北京
北京首都国际机场	11:25	
沈阳桃仙国际机场	8:00	沈阳到北京
北京首都国际机场	9:40	
沈阳桃仙国际机场	8:00	沈阳到北京
北京首都国际机场	9:40	
广州白云国际机场	8:00	广州到北京
北京首都国际机场	11:25	
沈阳桃仙国际机场	8:00	沈阳到北京
北京首都国际机场	9:40	
沈阳桃仙国际机场	8:00	沈阳到北京
北京首都国际机场	9:40	
西安咸阳国际机场	8:00	西安到北京
北京首都国际机场	9:50	
西安咸阳国际机场	8:00	西安到北京
北京首都国际机场	9:55	
广州白云国际机场	8:00	广州到北京
北京首都国际机场	11:25	
福州长乐国际机场	8:00	福州到北京
北京首都国际机场	10:45	
福州长乐国际机场	8:00	福州到北京
北京首都国际机场	10:45	
成都双流国际机场	8:00	成都到北京
北京首都国际机场	10:45	
银川河东机场	8:05	银川到北京
北京首都国际机场	10:00	
银川河东机场	8:05	银川到北京
北京首都国际机场	10:00	
福州长乐国际机场	8:10	福州到北京
北京首都国际机场	11:05	
福州长乐国际机场	8:10	福州到北京
北京首都国际机场	11:05	
福州长乐国际机场	8:10	福州到北京
北京首都国际机场	11:05	
海口美兰国际机场	8:15	海口到北京
北京首都国际机场	11:55	
海口美兰国际机场	8:15	海口到北京
北京首都国际机场	12:05	
成都双流国际机场	8:15	成都到北京
北京首都国际机场	10:55	
海口美兰国际机场	8:15	海口到北京
北京首都国际机场	12:05	
成都双流国际机场	8:15	成都到北京
北京首都国际机场	10:55	
成都双流国际机场	8:15	成都到北京
北京首都国际机场	10:55	
海口美兰国际机场	8:15	海口到北京
北京首都国际机场	11:55	
海口美兰国际机场	8:15	海口到北京
北京首都国际机场	12:05	
杭州萧山国际机场	8:20	杭州到北京
北京首都国际机场	10:35	
武汉天河国际机场	8:20	武汉到北京
北京首都国际机场	10:20	
武汉天河国际机场	8:20	武汉到北京
北京首都国际机场	10:20	
杭州萧山国际机场	8:20	杭州到北京
北京首都国际机场	10:35	
锡林浩特机场	8:25	锡林浩特到北京
北京首都国际机场	9:45	
呼和浩特白塔国际机场	8:25	呼和浩特到北京
北京首都国际机场	9:45	
包头东河机场	8:25	包头到北京
北京首都国际机场	9:45	
烟台蓬莱国际机场	8:25	烟台到北京
北京首都国际机场	9:40	
烟台蓬莱国际机场	8:25	烟台到北京
北京首都国际机场	9:50	
珠海金湾机场	8:25	珠海到北京
北京首都国际机场	11:40	
珠海金湾机场	8:25	珠海到北京
北京首都国际机场	11:40	
珠海金湾机场	8:25	珠海到北京
北京首都国际机场	11:40	
锡林浩特机场	8:25	锡林浩特到北京
北京首都国际机场	9:45	
烟台蓬莱国际机场	8:25	烟台到北京
北京首都国际机场	9:40	
烟台蓬莱国际机场	8:25	烟台到北京
北京首都国际机场	9:50	
烟台蓬莱国际机场	8:25	烟台到北京
北京首都国际机场	9:40	
烟台蓬莱国际机场	8:25	烟台到北京
北京首都国际机场	9:50	
包头东河机场	8:30	包头到北京
北京首都国际机场	9:50	
包头东河机场	8:30	包头到北京
北京首都国际机场	9:55	
南昌昌北国际机场	8:30	南昌到北京
北京首都国际机场	10:50	
南昌昌北国际机场	8:30	南昌到北京
北京首都国际机场	10:55	
烟台蓬莱国际机场	8:30	烟台到北京
北京首都国际机场	10:00	
烟台蓬莱国际机场	8:30	烟台到北京
北京首都国际机场	10:00	
南昌昌北国际机场	8:30	南昌到北京
北京首都国际机场	10:50	
南昌昌北国际机场	8:30	南昌到北京
北京首都国际机场	10:55	
烟台蓬莱国际机场	8:30	烟台到北京
北京首都国际机场	10:00	
包头东河机场	8:40	包头到北京
北京首都国际机场	10:00	
